Shapefile,Min_Boundary,Max_Boundary
Layer_1.shp,0,2000
Layer_2.shp,0,14000
Layer_3.shp,0,10000
Layer_4.shp,0,30000
Layer_5.shp,12000,42000
Layer_6.shp,0,22000
Layer_7.shp,0,30000
Layer_8.shp,0,28000
Layer_9.shp,0,26000
Layer_10.shp,0,18000
Layer_11.shp,0,30000
Layer_12.shp,0,30000
Layer_13.shp,0,24000
Layer_14.shp,0,18000
Layer_15.shp,0,18000
Layer_16.shp,22000,28000
Layer_17.shp,64000,94000
Layer_18.shp,0,22000
Layer_19.shp,0,8000
Layer_20.shp,56000,86000
Layer_21.shp,0,22000
Layer_22.shp,36000,66000
Layer_23.shp,0,30000
Layer_24.shp,0,20000
Layer_25.shp,14000,44000
Layer_26.shp,48000,78000
Layer_27.shp,36000,66000
Layer_28.shp,0,30000
Layer_29.shp,0,14000
Layer_30.shp,26000,50000
Layer_31.shp,0,30000
Layer_32.shp,12000,42000
Layer_33.shp,18000,48000
Layer_34.shp,64000,94000
Layer_35.shp,36000,66000
Layer_36.shp,0,18000
Layer_37.shp,120000,150000
Layer_38.shp,0,30000
Layer_39.shp,64000,94000
Layer_40.shp,82000,112000
Layer_41.shp,98000,128000
Layer_42.shp,238000,268000
Layer_43.shp,98000,128000
Layer_44.shp,180000,210000
Layer_45.shp,50000,80000
